sl,text,type,source,category,label
1,"Heart sound signals, or PCG recordings, provide a valuable non-invasive alternative to traditional diagnostic methods like CXR and blood tests for detecting cardiovascular disease. In this study, PCG data are collected, and features such as MFCC and WST are extracted to capture both time and frequency information. These features are used to classify the signals into normal and abnormal categories using DL models, including CNN, Bi-LSTM, and Bi-RNN. The study conducts extensive experiments using individual and combined features, showing that combining features enhances classification accuracy. The proposed CNN model, optimized with the Butterfly Optimization Algorithm, achieves an impressive classification accuracy of 99.07%, outperforming other models. This result highlights the effectiveness of using PCG signals and advanced DL techniques for accurate cardiovascular disease detection, offering a noninvasive and efficient alternative for early diagnosis.",Scientific Abstract,https://ieeexplore.ieee.org/document/10987967,HWT,0
2,"In both rural and urban settings, inadequate distribution systems and water scarcity present major problems. For instance, there exists a significant problem with inconsistency of water arrival time that the residents of a locality are unaware of; this inconsistency is observed due to manual monitoring by water distributors. As there is a manual monitoring system, a leak in the pipe cannot be sensed instantly which allows for a lot of wastage as water continues to flow. In this paper, we propose an Efficient Water Distribution Network (EWDN)which integrates Arduino UNO, water level sensors, relay modules, and Real-Time clocks (RTC) in order to automate the process -divide it, store the water in form of containers, detect leakage in pipelines, and provide water supply at scheduled time intervals. It notifies residents two days ahead about the expected arrival time of water through SMS, and two hours before water supply. It automatically operates the water pump to release water for a set time. In the event a leak is detected, it immediately switches off the pump and sends out an SMS alert to the water distributor and residents, reducing further water wastage. It reduces the manual effort, provides efficient water management by minimizing the wastage of water and ensures optimal delivery of the water. The experimental results show that the proposed system is effective in enhancing water management and safety by minimizing operational inefficiencies and can be used for smart city applications.",Scientific Abstract,https://ieeexplore.ieee.org/document/10987968,HWT,0
3,"Employing SWM in agricultural irrigation enhances efficiency, reduces costs, and boosts crop yield, while simultaneously benefiting the environment. We can now accurately quantify the water requirements of each plant, thanks to technological breakthroughs. The harmonious integration of diverse technologies poses a significant barrier to efficient solid waste management. Agriculture utilises around 70% of global freshwater, making effective water management essential for maintaining a sustainable food and water supply. In their quest for optimal irrigation, they utilised RF, RFE, and SelectKBest for feature selection after processing features with blanks. The ideal irrigation timetable for plants was established using a stacking ensemble technique. The recently constructed EM-MoNet network also facilitated SWM. This model utilised a two-stage transfer learning methodology that included re-training with the target dataset to improve its accuracy. The proposed method shown utility with an accuracy of 98.23% on a local dataset. This study highlights the importance of SWM in precision irrigation, which enhances sustainable agriculture by augmenting crop yields and reducing water consumption.",Scientific Abstract,https://ieeexplore.ieee.org/document/10987969,HWT,0
4,Advanced multi-user authentication systems have become vital because vehicle security incidents have increased. A Multi-Layer Authentication Vehicle Security System is developed through the integration of ESP32 microcontroller with fingerprint biometrics and RFID-based ID using the same platform. The RFID cards relate to specific fingerprints allowing different authorized users to safely access their vehicles through this system. RFID verification on EM18 modules stops unauthorized card entry into the vehicle. RF identification success allows the RS307 sensor to finalize the verification through fingerprint matching procedures. Users get three try attempts for verification following which the GSM (SIM900A) system sends an alert to the registered account holder. Low power usage combined with prompt reaction is enabled by the ESP32. Internal tests demonstrated that the GSM module reacted within three seconds while fingerprint authentication succeeded at 98.67% and RFID authentication presented 99.33% success leading to a total system efficiency rate of 98.66%. The system delivers powerful security along with secure multiple user authentications and affordable solutions to stop unauthorized system entry. Security through multi-layer authentication works by implementing various verification methods. The system will benefit from upcoming technological developments that merge cloud-based monitoring systems with AI authentication methods to enhance security and make the system more adaptable.,Scientific Abstract,https://ieeexplore.ieee.org/document/10987970,HWT,0
5,"Ever since artificial intelligence has gained popularity, it is being used and applied to many day to day lives which was quite unimaginable previously. Currently, AI tools are being used to write many texts and documents. Even for preparing academic as well as business reports such platforms are being utilized. AI being able to produce texts and reports is tremendous but it is also important to be able to identify which text is written by humans and which one has been generated using AI platforms. In this research, we have tried to address this issue for one of the most spoken languages on earth which is Bengali. We have created a dataset for the task with texts from various domains and fifty percent of it is AI generated and the rest are human written. All research materials of this study will be made publicly available so that research community can utilize them.",Scientific Abstract,https://ieeexplore.ieee.org/document/11171930,HWT,0
6,"As the dependency on cyberspace increases, the developing nations find it increasingly difficult to combat cyber threats. This study suggests a holistic approach to face the aforementioned threats for a developing nation integrating both internal and external resources. This is a descriptive study based on online resources and various publications. The developing nations/states remain vulnerable to all forms of cyber threats purported by malicious individuals, organizations, and even by the state actors. In one hand, these smaller nations lack public awareness in using IT resources, on the other hand they cannot afford required advanced skill base, tools and infrastructures. Therefore, they need a holistic approach to thwart cyber threats emanating both from internal and external agents. Domestically, the developing countries can raise public awareness, develop required skill base, infrastructures, and form public-pri-vate partnerships. Internationally, respecting own national interests, the countries can form alliance to share tools and skills. It is expected that such efforts will help the developing countries to secure cyberspace from various forms of threats.",Scientific Abstract,https://ieeexplore.ieee.org/document/9396966,HWT,0
7,"Fruit cultivation is an integral component of agricultural practices in Bangladesh. Farmers still use conventional methods of recommendation. As a consequence, they cannot choose suitable fruit crops based on soil requirements that hinder our economy. We tried to address the problem in this particular paper by proposing a recommendation system to guide farmers in finding the most appropriate crops for a particular soil. Using a mobile application, the proposed system works with the user's soil type and geological information to perform Pearson correlation similarity calculation for determining specific areas. The recommendation will subsequently be produced on the basis of the fruit production rate of the areas selected. The system will therefore decrease the incorrect choice of a fruit crop and thus increase productivity. Applying Precision and Recall method, the developed system is validated according to real data that provides satisfactory accuracy.",Scientific Abstract,https://ieeexplore.ieee.org/document/9396923,HWT,0
8,"Sentiment analysis addresses the issue of interpreting the data presented in several contexts and realms in terms of feelings, interests, and opinions. It can be useful for industries that need an awareness of the views of people on any specific subject or case. Twitter is one of the most widely used micro blog sites where users can express their thoughts, views, and opinions, making it an excellent resource for analyzing sentiment. Several works from different years are studied and briefly described in this review article. The reviewed works are categorized according to their implemented classification algorithms. A contrastive analysis on various strategies and methods of sentiment analysis using Twitter data is carried out in this review paper. Additionally, performance analysis, research gaps, and future scope of Twitter sentiment analysis are addressed.",Scientific Abstract,https://ieeexplore.ieee.org/document/9396915,HWT,0
9,"The airline industry has evolved quite dynamically over the last two decades. Airline firms use traditional customer feedback types that are very routine and time-intensive. Sentiment analysis may be a crucial approach to the analysis of input in order to minimize the problem. Twitter data acts as a valuable method for gathering user tweets and viewpoint analyzes. This paper proposed a novel deep learning model that effectively combines different word embedding with deep learning methods to evaluate a dataset made up of tweets for six major US Airlines and multi-class sentiment analysis. System selections integrate these features with different deep-learning approaches for term embedding and classify sentimental documents. This methodology starts with raw DNN data extraction and tweet-cleaning pre-processing methods for CNN. The test set product is a positive/negative/neutral tweet interpretation with a 3-class data set and data set precision assessment. Finally, we understand the findings obtained from the models presented by various researchers and prove that our model is more reliable than the previous frameworks.",Scientific Abstract,https://ieeexplore.ieee.org/document/9396879,HWT,0
10,"Cybersecurity is the practice of protecting information on the internet and intranet from outside sources. The age-old traditional information security systems have been rendered ineffective owing to fast moving digital transformation. The current perceptions suggest that information insecurity environment in cyberspace across the globe is increasing at unprecedented pace at both global and national context. The Bangladesh situation has been analyzed in this paper through four internationally recognized indices. It indicates the requirement of significant rooms for improvements. Such phenomenon is impacting persons, organizations, and states. The challenges of cybersecurity emanate from lack of legal frameworks or improper legal documents, inefficient technical institutions, lack of organizational ability and capacity building, and finally lack of cooperation mechanisms. The suggested policy options have addressed the ongoing challenges with a view to developing a digitally connected safe, secure, and reliable Bangladesh by 2030.",Scientific Abstract,https://ieeexplore.ieee.org/document/9396958,HWT,0
